text,sentiment
doug liman the director of bourne directs the traffic well gets a nice wintry look from his locations absorbs us with the movies spycraft and uses damons ability to be focused and sincere,positive
the tenderness of the piece is still intact,positive
katz uses archival footage horrifying documents of lynchings still photographs and charming old reeltoreel recordings of meeropol entertaining his children to create his song history but most powerful of all is the song itself,positive
like the films almost anthropologically detailed realization of early80s suburbia its significant without being overstated,positive
while mcfarlanes animation lifts the film firmly above the level of other comingofage films its also so jarring that its hard to get back into the boys story,positive
if nothing else this movie introduces a promising unusual kind of psychological horror,positive
in a normal screen process these bromides would be barely enough to sustain an interstitial program on the discovery channel but in imax 3d the clichs disappear into the vertiginous perspectives opened up by the photography,positive
writerdirector burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear,positive
a rollercoaster ride of a movie,positive
i enjoyed time of favor while i was watching it but i was surprised at how quickly it faded from my memory,positive
chicago is sophisticated brash sardonic completely joyful in its execution,positive
steve irwins method is ernest hemmingway at accelerated speed and volume,positive
a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters,positive
on the surface its a loversontherun crime flick but it has a lot in common with piesiewiczs and kieslowskis earlier work films like the double life of veronique,positive
the values that have held the enterprise crew together through previous adventures and perils do so againcourage selfsacrifice and patience under pressure,positive
if its possible for a sequel to outshine the original then sl2 does just that,positive
a romantic comedy that operates by the rules of its own selfcontained universe,positive
4 friends 2 couples 2000 miles and all the pabst blue ribbon beer they can drink its the ultimate redneck roadtrip,positive
the film is often filled with a sense of pure wonderment and excitement not often seen in todays cinema du sarcasm,positive
it might be tempting to regard mr andrew and his collaborators as oddballs but mr earnharts quizzical charming movie allows us to see them finally as artists,positive
a feelgood picture in the best sense of the term,positive
edited and shot with a syncopated style mimicking the work of his subjects pray turns the idea of the documentary on its head making it rousing invigorating fun lacking any mtv puffery,positive
a mostly intelligent engrossing and psychologically resonant suspenser,positive
its this memoryasidentity obviation that gives secret life its intermittent unease reaffirming that longheld illusions are indeed reality and that erasing them recasts the self,positive
hiphop has a history and its a metaphor for this love story,positive
in scope ambition and accomplishment children of the century takes kurys career to a whole new level,positive
this may not have the dramatic gutwrenching impact of other holocaust films but its a compelling story mainly because of the way its told by the people who were there,positive
between the drama of cube s personal revelations regarding what the shop means in the big picture iconic characters gambol fluidly through the story with charming results,positive
a gentle compassionate drama about grief and healing,positive
somewhere short of tremors on the modern bscene neither as funny nor as clever though an agreeably unpretentious way to spend ninety minutes,positive
digitalvideo documentary about standup comedians is a great glimpse into a very different world,positive
unlike most teen flicks swimming takes its time to tell its story casts mostly littleknown performers in key roles and introduces some intriguing ambiguity,positive
an enthralling playful film that constantly frustrates our desire to know the truth about this man while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to,positive
extreme ops exceeds expectations good fun good action good acting good dialogue good pace good cinematography,positive
you should pay nine bucks for this because you can hear about suffering afghan refugees on the news and still be unaffected dramas like this make it human,positive
a thunderous ride at first quiet cadences of pure finesse are few and far between their shortage dilutes the potency of otherwise respectable action still this flick is fun and host to some truly excellent sequences,positive
its obviously struck a responsive chord with many south koreans and should work its magic in other parts of the world,positive
run dont walk to see this barbed and bracing comedy on the big screen,positive
a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done,positive
it is nature against progress in fessendens horror trilogy this theme has proved important to him and is especially so in the finale,positive
its not exactly a gourmet meal but the fare is fair even coming from the drivethru,positive
this is what imax was made for strap on a pair of 3d goggles shut out the real world and take a vicarious voyage to the last frontier space,positive
merely as a technical logistical feat russian ark marks a cinematic milestone,positive
schweiger is talented and terribly charismatic qualities essential to both movie stars and social anarchists,positive
its a great deal of sizzle and very little steak but what spectacular sizzle it is in this incarnation its fizz is infectious,positive
an original gem about an obsession with time,positive
it will delight newcomers to the story and those who know it from bygone days,positive
gloriously goofy and gory midnight movie stuff,positive
the film overcomes the regular minefield of comingofage cliches with potent doses of honesty and sensitivity,positive
if your senses havent been dulled by slasher films and gorefests if youre a connoisseur of psychological horror this is your ticket,positive
its a minor comedy that tries to balance sweetness with coarseness while it paints a sad picture of the singles scene,positive
it is intensely personal and yet unlike quills deftly shows us the temper of the times,positive
as lofi as the special effects are the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten,positive
like mike doesnt win any points for originality it does succeed by following a feelgood formula with a winning style and by offering its target audience of urban kids some welcome role models and optimism,positive
its a hoot and a half and a great way for the american people to see what a candidate is like when hes not giving the same 15cent stump speech,positive
far from perfect but its heart is in the right place innocent and wellmeaning,positive
a sad superior human comedy played out on the back roads of life,positive
waydowntown is by no means a perfect film but its boasts a huge charm factor and smacks of originality,positive
tim allen is great in his role but never hogs the scenes from his fellow cast as there are plenty of laughs and good lines for everyone in this comedy,positive
more a load of enjoyable conanesque claptrap than the punishing specialeffects soul assaults the mummy pictures represent,positive
enormously likable partly because it is aware of its own grasp of the absurd,positive
heres a british flick gleefully unconcerned with plausibility yet just as determined to entertain you,positive
its an old story but a lively script sharp acting and partially animated interludes make just a kiss seem minty fresh,positive
must be seen to be believed,positive
ray liotta and jason patric do some of their best work in their underwritten roles but dont be fooled nobody deserves any prizes here,positive
everything that has to do with yvan and charlotte and everything that has to do with yvans rambunctious jewish sister and her nonjew husband feels funny and true,positive
sweet home alabama is what it is a nice harmless date film,positive
the years happiest surprise a movie that deals with a real subject in an always surprising way,positive
fans of behans work and of irish movies in general will be rewarded by borstal boy,positive
its mysteries are transparently obvious and its too slowly paced to be a thriller but its worth recommending because of two marvelous performances by michael caine and brendan fraser,positive
the film is faithful to what one presumes are the books twin premises that we become who we are on the backs of our parents but we have no idea who they were at our age and that time is a fleeting and precious commodity no matter how old you are,positive
stephen earnharts homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens,positive
a solidly seaworthy chiller,positive
if you can get past the fantastical aspects and harsh realities of the isle youll get a sockyouintheeye flick that is a visual tourdeforce and a story that is unlike any you will likely see anywhere else,positive
there are as many misses as hits but ultimately it finds humor in the foibles of human behavior and its a welcome return to the roots of a genre that should depend on surprises,positive
a wellmade thriller with a certain level of intelligence and nonreactionary morality,positive
theres enough science to make it count as educational and enough beauty to make it unforgettable,positive
remains a solid if somewhat heavyhanded account of the neardisaster done up by howard with a steady if not very imaginative hand,positive
makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of irans borderlands,positive
for a good chunk of its running time trapped is an effective and claustrophobic thriller,positive
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness,positive
nair does capture the complexity of a big family and its trials and tribulations,positive
the seaside splendor and shallow beautiful people are nice to look at while you wait for the story to get going,positive
rare is the urban comedy that even attempts the insight and honesty of this disarming indie,positive
ranks among willams best screen work,positive
engagingly captures the maddening and magnetic ebb and flow of friendship,positive
an experience so engrossing it is like being buried in a new environment,positive
its traditional moviemaking all the way but its done with a lot of careful period attention as well as some very welcome wit,positive
thoroughly enjoyable,positive
maybe its just because this past year has seen the release of some of the worst film comedies in decades but honestly analyze that really isnt all that bad,positive
a droll wellacted characterdriven comedy with unexpected deposits of feeling,positive
this is simply the most fun youll ever have with a documentary,positive
a very funny movie,positive
watching hanekes film is aptly enough a challenge and a punishment but watching huppert a great actress tearing into a landmark role is riveting,positive
a cop story that understands the medium amazingly well,positive
one of the best most understated performances of jack nicholsons career,positive
britney has been delivered to the big screen safe and sound the way we like our 20yearold superstar girls to travel on the fame freeway,positive
those outside show business will enjoy a close look at people they dont really want to know,positive
the kind of nervous film that will either give you a mild headache or exhilarate you,positive
watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it,positive
children may not understand everything that happens im not sure even miyazaki himself does but they will almost certainly be fascinated and undoubtedly delighted,positive
a fascinating and fun film,positive
tadpole is a sophisticated funny and goodnatured treat slight but a pleasure,positive
this insightful oscarnominated documentary in which children on both sides of the everescalating conflict have their say away from watchful parental eyes gives peace yet another chance,positive
i admired this work a lot,positive
whether youre moved and love it or bored or frustrated by the film youll still feel something,positive
there are enough moments of heartbreaking honesty to keep one glued to the screen,positive
my goodness queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts she must have a very strong back,positive
a smart sweet and playful romantic comedy,positive
australian john polson and awardwinning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation,positive
without heavyhandedness dong provides perspective with his intelligent grasp of human foibles and contradictions,positive
solid lumpinthethroat family entertainment that derives its power by sticking to the facts,positive
as an entertainment the movie keeps you diverted and best of all it lightens your wallet without leaving a sting,positive
it is interesting and fun to see goodall and her chimpanzees on the biggerthanlife screen,positive
it wont bust your gut and its not intended to its merely a blandly cinematic surgical examination of what makes a joke a joke,positive
a somewhat crudely constructed but gripping questing look at a person so racked with selfloathing he becomes an enemy to his own race,positive
it extends the writings of jean genet and john rechy the films of fassbinder perhaps even the nocturnal works of goya,positive
narc may not get an a for originality but it wears its bmovie heritage like a badge of honor,positive
with the films striking ending one realizes that we have a long way to go before we fully understand all the sexual permutations involved,positive
drumline is entertaining for what it does and admirable for what it doesnt do,positive
at its best early on as it plays the culture clashes between the brothers,positive
a rare beautiful film,positive
an unabashedly schmaltzy and thoroughly enjoyable true story,positive
a thoughtful look at a painful incident that made headlines in 1995,positive
you walk out of the good girl with mixed emotions disapproval of justine combined with a tinge of understanding for her actions,positive
tsai mingliang has taken his trademark style and refined it to a crystalline point,positive
purely propaganda a work of unabashed hero worship it is nonetheless and likely inadvertently a timely and invaluable implicit reminder of the role that u s foreign policy has played in the rise of castro,positive
now trimmed by about 20 minutes this lavish threeyearold production has enough grandeur and scale to satisfy as grownup escapism,positive
we get some truly unique character studies and a crosssection of americana that hollywood couldnt possibly fictionalize and be believed,positive
though this film can be clumsy its ambitions are equally and admirably uncommercial,positive
daring mesmerizing and exceedingly hard to forget,positive
the dangerous lives of altar boys take on adolescence feels painfully true,positive
moores performance impresses almost as much as her work with haynes in 1995s safe,positive
visits spymovie territory like a novel you cant put down examines a footnote to history seldom brought to light on the screen and keeps you guessing from first frame to last,positive
an absorbing sliceofdepression life that touches nerves and rings true,positive
mr parker has brilliantly updated his source and grasped its essence composing a sorrowful and hilarious tone poem about alienated labor or an absurdist workplace sitcom,positive
the result is something quite fresh and delightful,positive
all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure,positive
despite its many infuriating flaws not the least of which is amys selfabsorbed personality amys os honesty will win you over,positive
this is one of polanskis best films,positive
day is not a great bond movie but it is a good bond movie which still makes it much better than your typical bond knockoffs,positive
polished korean politicalaction film is just as good and bad as hollywood action epics is this progress,positive
elling portrayed with quiet fastidiousness by per christian ellefsen is a truly singular character one whose frailties are only slightly magnified versions of the ones that vex nearly everyone,positive
denis and cowriter michele petins impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing lead provocatuers testud and parmentier give superlative performances,positive
an absorbing trip into the minds and motivations of people under stress as well as a keen unsentimental look at variations on the theme of motherhood,positive
i admired it particularly that unexpected downer of an ending,positive
the passions aroused by the discord between old and new cultures are set against the strange stark beauty of the mideast desert so lovingly and perceptively filmed that you can almost taste the desiccated air,positive
remarkably accessible and affecting,positive
never mind whether you buy the stuff about barris being a cia hit man the kooky yet shadowy vision clooney sustains throughout is daring inventive and impressive,positive
a triumph of art direction over narrative but what art direction,positive
behan himself knew how to spin a tale and one cant help but think hed appreciate this attempt to turn his life into art,positive
jir hubacs script is a gem his characters are engaging intimate and the dialogue is realistic and greatly moving the scope of the silberstein family is large and we grow attached to their lives full of strength warmth and vitality,positive
moores complex and important film is also believe it or not immensely entertaining a david and goliath story thats still very much playing itself out,positive
the additional storyline is interesting and entertaining but it doesnt have the same magical quality as the beginning of the story i like the new footage and still love the old stuff,positive
though mama takes a bit too long to find its rhythm and a thirdact plot development is somewhat melodramatic its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium,positive
you might not buy the ideas but youll definitely want the tshirt,positive
provides an intriguing window into the imagination and hermetic analysis of todd solondz,positive
windtalkers is shapelessly gratifying the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live,positive
presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it,positive
just what makes us happy anyway,positive
a thoughtful moving piece that faces difficult issues with honesty and beauty,positive
one of the greatest romantic comedies of the past decade,positive
you wouldnt call the good girl a date movie an antidate movie is more like it but when its good its good and horrid,positive
benefits from a strong performance from zhao but its dong jies face you remember at the end,positive
this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever,positive
the director steven shainberg has succeeded by focusing intently on his characters making them quirky individuals rather than figures of fun,positive
it ultimately stands forth as an important chronicle of the abuses of one of latin americas most oppressive regimes,positive
the movie has a soft percolating magic a deadpan suspense,positive
a wellmade and often lovely depiction of the mysteries of friendship,positive
using his audience as a figurative portofcall dong pulls his evenhanded ideological ship to their dock for unloading before he continues his longer journey still ahead,positive
understands that a generation defines its music as much as the music defines a generation,positive
the transporter is as lively and as fun as it is unapologetically dumb,positive
as a witness to several greekamerican weddings but happily a victim of none i can testify to the comparative accuracy of ms vardalos memories and insights,positive
has it ever been possible to say that williams has truly inhabited a character it is now,positive
by presenting an impossible romance in an impossible world pumpkin dares us to say why either is impossible which forces us to confront whats possible and what we might do to make it so,positive
an impressive debut for firsttime writerdirector mark romanek especially considering his background is in music video,positive
an incendiary deeply thoughtprovoking look at one of the most peculiar and peculiarly venomous bigotries in our increasingly frightening theocracy,positive
all the performances are top notch and once you get through the accents all or nothing becomes an emotional though still positive wrench of a sit,positive
its successes are also tempered with elements which prove the direct antithesis of what it gets right,positive
its solid and affecting and exactly as thoughtprovoking as it should be,positive
this is such a dazzlingly selfassured directorial debut that its hard to know what to praise first,positive
parker holds true to wildes own vision of a pure comedy with absolutely no meaning and no desire to be anything but a polished sophisticated entertainment that is in love with its own cleverness,positive
mnchs genuine insight makes the films occasional overindulgence forgivable,positive
thankfully the film which skirts that rapidly deteriorating line between fantasy and reality takes a tongueincheek attitude even as it pushes the croc hunter agenda,positive
ultimately the message of trouble every day seems to be that all sexual desire disrupts lifes stasis,positive
if youre like me a sucker for a good old fashion romance and someone who shamelessly loves to eat then mostly martha offers all the perfect ingredients to more than satisfy your appetite,positive
the film has just enough of everything reenactments archival footage talkinghead interviews and the music is simply sublime,positive
there are a few stabs at absurdist comedy but mostly the humor is of the sweet gentle and occasionally cloying kind that has become an iranian specialty,positive
a wonderful characterbased comedy,positive
it would be interesting to hear from the other side but in talk to her the women are down for the count,positive
an endearingly offbeat romantic comedy with a great meetcute gimmick,positive
the unique tugofwar with viewer expectations is undeniable if not a pleasure in its own right,positive
it uses an oldtime formula its not terribly original and its rather messy but you just have to love the big dumb happy movie my big fat greek wedding,positive
its almost impossible not to be moved by the movies depiction of sacrifice and its stirring epilogue in postsoviet russia,positive
who knows what exactly godard is on about in this film but his words and images dont have to add up to mesmerize you,positive
the tone is balanced reflective and reasonable,positive
the principals in this cast are all fine but bishop and stevenson are standouts,positive
it could change america not only because it is full of necessary discussion points but because it is so accessible that it makes complex politics understandable to viewers looking for nothing but energetic entertainment,positive
whats most striking about this largely celebratory film is the sense of isolation that permeates these bastions of individuality in an ikea world,positive
if youre in a mind set for goofy comedy the troopers will entertain with their gross outs bawdy comedy and head games,positive
somewhat blurred but kinnears performance is razor sharp,positive
as a director mr ratliff wisely rejects the temptation to make fun of his subjects,positive
for anyone who remembers the 60s or is interested in one mans response to stroke ram dass fierce grace is worth seeking out,positive
intriguing and beautiful film but those of you who read the book are likely to be disappointed,positive
the new guy does have a heart now if it only had a brain,positive
a savvy exploration of paranoia and insecurity in americas culture of fear,positive
legendary irish writer brendan behans memoir borstal boy has been given a loving screen transferral,positive
the films greatest asset is how much its not just another connectthedots spyontherun picture,positive
this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences,positive
its one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental,positive
morton is as usual brilliant,positive
even with all those rough edges safely sanded down the american insomnia is still pretty darned good,positive
i dont know precisely what to make of steven soderberghs full frontal though that didnt stop me from enjoying much of it,positive
the tug of war that ensues is as much a snapshot of modern china in microcosm as it is a crash course in movie mythology,positive
nearly surreal dabbling in french this is no simple movie and youll be taking a risk if you choose to see it i enjoyed the ride bumps and all creamy depth and ultimate theme,positive
you could say that its slow at times you could say that a few of the characters act in ways that real people wouldnt but one thing you couldnt say is that alias betty is predictable,positive
asia authors herself as anna battista an italian superstar and aspiring directress who just happens to be her own worst enemy,positive
roman coppola may never become the filmmaker his dad was but heck few filmmakers will but based on cq ill certainly be keeping an eye out for his next project,positive
an amusing breezily apolitical documentary about life on the campaign trail,positive
high on melodrama but its emotionally engrossing too thanks to strong credible performances from the whole cast,positive
finally a genre movie that delivers in a couple of genres no less,positive
its not so much enjoyable to watch as it is enlightening to listen to new sides of a previous reality and to visit with some of the people who were able to make an impact in the theater world,positive
spielberg is the rare director who does not want to invite viewers to gawk at or applaud his special effects he just wants them to be part of the action the wallpaper of his chosen reality here thankfully they are,positive
post 911 the philosophical message of personal freedom first might not be as palatable as intended,positive
hu and liu offer natural matteroffact performances that glint with sorrow longing and love,positive
this bold and lyrical first feature from raja amari expands the pat notion that middleaged women just wanna have fun into a rousing treatise of sensual empowerment,positive
easier to respect than enthuse over anderssons rigorous personal vision is not only distanced but distancing,positive
girls gone wild and gone civil again,positive
tunney is allowed to build an uncommonly human character an almost reallive girl complete with trouble and hope,positive
while this film is not in the least surprising it is still ultimately very satisfying think of it as a sort of comfort food for the mind,positive
clever brutal and strangely soulful movie,positive
always remains movingly genuine,positive
an intelligent fiction about learning through cultural clash,positive
will grab your children by the imagination and amaze them and amuse them,positive
a remarkable 179minute meditation on the nature of revolution,positive
those who would follow haneke on his creepy explorations are rewarded by brutal committed performances from huppert and magimel,positive
an involving true story of a chinese actor who takes up drugs and winds up in an institutionacted mostly by the actual people involved,positive
hands down the years most thoughtprovoking film but it pays a price for its intricate intellectual gamesmanship,positive
its a terrific american sports movie and dennis quaid is its athletic heart,positive
this is such a highenergy movie where the drumming and the marching are so excellent who cares if the storys a little weak,positive
compelling revenge thriller though somewhat weakened by a miscast leading lady,positive
its amazingly perceptive in its subtle supportive but unsentimental look at the marks family,positive
a whole lot foul freaky and funny,positive
family fare,positive
attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage,positive
the diversity of the artists represented both in terms of style and ethnicity prevents the proceedings from feeling repetitious as does the appropriately brief 40minute running time,positive
the pianist is a fine valedictory work for polanski made richer by his own experiences making his other movies somehow richer in the bargain,positive
foster nails the role giving a tight focused performance illuminated by shards of feeling,positive
even if you cant pronounce gyro correctly youll appreciate much of vardalos humor which transcends ethnic boundaries,positive
is office work really as alienating as bartleby so effectively makes it,positive
farrell thankfully manages to outshine the role and successfully plays the foil to williss worldweary colonel,positive
audiences conditioned to getting weepy over saucereyed downycheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the films tart sugarfree wit,positive
bennetts dramatization of her personal descent into postbreakup perdition has a morbid appeal thats tough to shake,positive
an intriguing and entertaining introduction to johnson,positive
as expected sayles smart wordplay and clever plot contrivances are as sharp as ever though they may be overshadowed by some strong performances,positive
a model of what films like this should be like,positive
as weber and weissman demonstrate with such insight and celebratory verve the cockettes werent as much about gender sexual preference or political agitprop as they were simply a triumph of the indomitable human will to rebel connect and create,positive
yeah these flicks are just that damn good isnt it great,positive
an unbelievably fun film just a leading man away from perfection,positive
overthetop and a bit ostentatious this is a movie thats got oodles of style and substance,positive
a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life,positive
nicely serves as an examination of a society in transition,positive
boisterous heartfelt comedy,positive
a tender and touching drama based on the true story of a troubled africanamericans quest to come to terms with his origins reveals the yearning we all have in our hearts for acceptance within the family circle,positive
as a randy film about sexy people in gorgeous places being pushed and pulled literally and figuratively by desire sex and luca makes for an arousing good time,positive
absorbing character study by andr turpin,positive
celebrated at sundance this slight comedy of manners has winning performances and a glossy glib charm thats hard to beat,positive
renners performance as dahmer is unforgettable deeply absorbing,positive
if no one singles out any of these performances as awardworthy its only because we would expect nothing less from this bunch,positive
if you love reading poetry then by all means check it out youll probably love it,positive
though of particular interest to students and enthusiast of international dance and world music the film is designed to make viewers of all ages cultural backgrounds and rhythmic ability want to get up and dance,positive
energetic and boldly provocative,positive
star wars is back in a major way,positive
its a movie and an album you wont want to miss,positive
its rare to find a film that dazzles the eye challenges the brain and satisfies our lust for fastpaced action but minority report delivers all that and a whole lot more,positive
while not all transitions to adulthood are so fraught theres much truth and no small amount of poetry in girls cant swim,positive
if theres nothing fresh about wannabes which was written by mr demeo who produced and directed the film with charles a addessi much of the time the movie feels authentic,positive
jacquots tosca is a treat,positive
by the end of no such thing the audience like beatrice has a watchful affection for the monster,positive
if you liked such movies as notting hill four weddings and a funeral bridget jones diary or high fidelity then you wont want to miss about a boy,positive
the gentle melding of drama and comedy makes what time is it there something the true film buff will enjoy,positive
romanek keeps the film constantly taut reflecting the characters instability with a metaphorical visual style and an unnerving heartbeatlike score,positive
i wholeheartedly recommend that everyone see this movie for its historical significance alone,positive
hey who else needs a shower,positive
longley has constructed a remarkably coherent horrifically vivid snapshot of those turbulent days,positive
although it bangs a very cliched drum at times this crowdpleasers fresh dialogue energetic music and goodnatured spunk are often infectious,positive
